. Sequence file : [6t_8p_filtered_min4_phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	             	                                      	 0.14174   0.79077   0.05843  -0.99094  

  #60	14   	-728519.59237	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00406   0.05947   0.80629   0.13830  
      	     	          	           	             	                                      	 0.06854  -0.99812   0.02463   0.90494  
      	     	          	           	             	                                      	 0.92090   0.02441  -1.01345   0.06814  
      	     	          	           	             	                                      	 0.13867   0.78727   0.05982  -0.98576  

  #61	14   	-728636.57819	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-0.99949   0.05895   0.80228   0.13827  
      	     	          	           	             	                                      	 0.06794  -1.00393   0.02383   0.91216  
      	     	          	           	             	                                      	 0.91632   0.02362  -1.00693   0.06700  
      	     	          	           	             	                                      	 0.13863   0.79355   0.05882  -0.99100  

  #62	14   	-728647.80696	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-0.99745   0.05720   0.80030   0.13995  
      	     	          	           	             	                                      	 0.06592  -1.00242   0.02349   0.91301  
      	     	          	           	             	                                      	 0.91406   0.02328  -1.00617   0.06884  
      	     	          	           	             	                                      	 0.14032   0.79429   0.06043  -0.99504  

  #63	14   	-727433.78738	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00035   0.05730   0.80610   0.13695  
      	     	          	           	             	                                      	 0.06603  -0.99913   0.02286   0.91023  
      	     	          	           	             	                                      	 0.92068   0.02265  -1.01223   0.06890  
      	     	          	           	             	                                      	 0.13731   0.79188   0.06049  -0.98967  

  #64	14   	-727992.85169	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00208   0.05794   0.80216   0.14198  
      	     	          	           	             	                                      	 0.06678  -1.00047   0.02397   0.90972  
      	     	          	           	             	                                      	 0.91618   0.02375  -1.00626   0.06632  
      	     	          	           	             	                                      	 0.14235   0.79143   0.05823  -0.99201  

  #65	14   	-728243.41824	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00332   0.05800   0.80654   0.13877  
      	     	          	           	             	                                      	 0.06685  -0.99848   0.02476   0.90687  
      	     	          	           	             	                                      	 0.92118   0.02454  -1.01267   0.06695  
      	     	          	           	             	                                      	 0.13914   0.78895   0.05877  -0.98687  

  #66	14   	-727583.91996	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00522   0.05775   0.80630   0.14117  
      	     	          	           	             	                                      	 0.06656  -0.99787   0.02463   0.90669  
      	     	          	           	             	                                      	 0.92091   0.02441  -1.01041   0.06509  
      	     	          	           	             	                                      	 0.14154   0.78879   0.05715  -0.98748  

  #67	14   	-727506.41868	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00435   0.05667   0.80595   0.14174  
      	     	          	           	             	                                      	 0.06531  -0.99795   0.02388   0.90876  
      	     	          	           	             	                                      	 0.92050   0.02366  -1.00894   0.06477  
      	     	          	           	             	                                      	 0.14211   0.79060   0.05686  -0.98957  

  #68	14   	-726258.67796	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00664   0.05856   0.80755   0.14053  
      	     	          	           	             	                                      	 0.06749  -0.99772   0.02314   0.90709  
      	     	          	           	             	                                      	 0.92234   0.02293  -1.00981   0.06454  
      	     	          	           	             	                                      	 0.14090   0.78914   0.05666  -0.98670  

  #69	14   	-727143.68067	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00814   0.05871   0.80996   0.13948  
      	     	          	           	             	                                      	 0.06767  -0.99483   0.02171   0.90545  
      	     	          	           	             	                                      	 0.92508   0.02152  -1.01247   0.06587  
      	     	          	           	             	                                      	 0.13985   0.78771   0.05783  -0.98539  

  #70	14   	-728347.32541	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00372   0.05779   0.80497   0.14096  
      	     	          	           	             	                                      	 0.06661  -0.99766   0.02330   0.90775  
      	     	          	           	             	                                      	 0.91938   0.02309  -1.00954   0.06707  
      	     	          	           	             	                                      	 0.14133   0.78972   0.05888  -0.98993  

  #71	14   	-726001.02888	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00258   0.05816   0.80646   0.13796  
      	     	          	           	             	                                      	 0.06703  -0.99961   0.02379   0.90879  
      	     	          	           	             	                                      	 0.92108   0.02358  -1.01152   0.06685  
      	     	          	           	             	                                      	 0.13833   0.79062   0.05869  -0.98764  

  #72	14   	-727046.35322	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00366   0.05609   0.80732   0.14025  
      	     	          	           	             	                                      	 0.06464  -0.99677   0.02364   0.90849  
      	     	          	           	             	                                      	 0.92208   0.02342  -1.01157   0.06607  
      	     	          	           	             	                                      	 0.14063   0.79036   0.05800  -0.98898  

  #73	14   	-727936.20074	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00100   0.05599   0.80465   0.14036  
      	     	          	           	             	                                      	 0.06453  -0.99657   0.02291   0.90912  
      	     	          	           	             	                                      	 0.91901   0.02270  -1.01093   0.06921  
      	     	          	           	             	                                      	 0.14073   0.79091   0.06076  -0.99240  

  #74	14   	-727626.77683	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-0.99898   0.05756   0.80505   0.13637  
      	     	          	           	             	                                      	 0.06634  -1.00266   0.02524   0.91108  
      	     	          	           	             	                                      	 0.91948   0.02501  -1.01175   0.06726  
      	     	          	           	             	                                      	 0.13673   0.79261   0.05905  -0.98839  

  #75	14   	-728165.85805	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00359   0.05811   0.80711   0.13837  
      	     	          	           	             	                                      	 0.06697  -0.99806   0.02367   0.90741  
      	     	          	           	             	                                      	 0.92183   0.02346  -1.01247   0.06718  
      	     	          	           	             	                                      	 0.13874   0.78942   0.05898  -0.98714  

  #76	14   	-727786.14584	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00814   0.05912   0.81035   0.13867  
      	     	          	           	             	                                      	 0.06814  -0.99441   0.02280   0.90347  
      	     	          	           	             	                                      	 0.92553   0.02259  -1.01489   0.06676  
      	     	          	           	             	                                      	 0.13904   0.78599   0.05861  -0.98363  

