. Sequence file : [6t_filtered_min4_phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	             	                                      	 0.07571  -0.94966   0.01846   0.85549  
      	     	          	           	             	                                      	 0.90117   0.01813  -0.98452   0.06522  
      	     	          	           	             	                                      	 0.18097   0.75859   0.05887  -0.99843  

  #27	6   	-105242.31381	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.02479   0.06527   0.77611   0.18342  
      	     	          	           	             	                                      	 0.07370  -0.97838   0.02274   0.88193  
      	     	          	           	             	                                      	 0.86098   0.02234  -0.95753   0.07421  
      	     	          	           	             	                                      	 0.18367   0.78204   0.06698  -1.03269  

  #28	6   	-105116.04267	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.03133   0.06079   0.78508   0.18546  
      	     	          	           	             	                                      	 0.06865  -0.97649   0.02718   0.88067  
      	     	          	           	             	                                      	 0.87093   0.02670  -0.96147   0.06384  
      	     	          	           	             	                                      	 0.18572   0.78092   0.05762  -1.02426  

  #29	6   	-105599.61563	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.06410   0.06677   0.80784   0.18949  
      	     	          	           	             	                                      	 0.07540  -0.94492   0.02506   0.84446  
      	     	          	           	             	                                      	 0.89618   0.02462  -0.98594   0.06514  
      	     	          	           	             	                                      	 0.18975   0.74881   0.05880  -0.99735  

  #30	6   	-104959.45737	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.03803   0.06386   0.79715   0.17702  
      	     	          	           	             	                                      	 0.07212  -0.96660   0.01939   0.87510  
      	     	          	           	             	                                      	 0.88432   0.01904  -0.97289   0.06953  
      	     	          	           	             	                                      	 0.17727   0.77598   0.06276  -1.01600  

  #31	6   	-105205.81785	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.03597   0.06267   0.78782   0.18548  
      	     	          	           	             	                                      	 0.07077  -0.97643   0.02624   0.87943  
      	     	          	           	             	                                      	 0.87397   0.02578  -0.96058   0.06083  
      	     	          	           	             	                                      	 0.18574   0.77982   0.05491  -1.02046  

  #32	6   	-105429.05554	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.03875   0.06898   0.78950   0.18028  
      	     	          	           	             	                                      	 0.07789  -0.97103   0.02499   0.86815  
      	     	          	           	             	                                      	 0.87583   0.02455  -0.97043   0.07005  
      	     	          	           	             	                                      	 0.18053   0.76981   0.06323  -1.01357  

  #33	6   	-105196.11192	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.04243   0.06341   0.79122   0.18780  
      	     	          	           	             	                                      	 0.07161  -0.96609   0.02428   0.87020  
      	     	          	           	             	                                      	 0.87775   0.02386  -0.96625   0.06465  
      	     	          	           	             	                                      	 0.18806   0.77163   0.05835  -1.01805  

  #34	6   	-105003.07747	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.03971   0.06033   0.79436   0.18501  
      	     	          	           	             	                                      	 0.06813  -0.97363   0.02545   0.88005  
      	     	          	           	             	                                      	 0.88123   0.02500  -0.96308   0.05685  
      	     	          	           	             	                                      	 0.18527   0.78036   0.05132  -1.01695  

  #35	6   	-105031.30500	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.04265   0.05900   0.79742   0.18622  
      	     	          	           	             	                                      	 0.06663  -0.96680   0.02545   0.87472  
      	     	          	           	             	                                      	 0.88463   0.02500  -0.96846   0.05883  
      	     	          	           	             	                                      	 0.18647   0.77564   0.05310  -1.01521  

  #36	6   	-105229.55478	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.03776   0.06359   0.78972   0.18445  
      	     	          	           	             	                                      	 0.07181  -0.97082   0.02598   0.87303  
      	     	          	           	             	                                      	 0.87608   0.02552  -0.96699   0.06538  
      	     	          	           	             	                                      	 0.18470   0.77414   0.05902  -1.01786  

  #37	6   	-105099.45170	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.03254   0.06422   0.78672   0.18160  
      	     	          	           	             	                                      	 0.07252  -0.97331   0.02215   0.87864  
      	     	          	           	             	                                      	 0.87275   0.02176  -0.96393   0.06942  
      	     	          	           	             	                                      	 0.18185   0.77912   0.06266  -1.02363  

